STATE,FSCS ID,FSCS ID_SEQ,LIBRARY ID,LIBRARY NAME,LIBRARY SYSTEM,PHONE,COUNTY,LOCATION,LOCALE,COUNTY POPULATION,OUTLET TYPE,SQ FEET,BOOKMOBILES,HOURS,WEEKS OPEN,METRO STATUS,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE
AK,AK0017,3,AK0017-003,CRAIG PUBLIC LIBRARY,CRAIG PUBLIC LIBRARY,907-826-3281,PR WALES-OUTER KE,"504 THIRD STREET
CRAIG, AK
(55.474758, -133.148393)",43,6341,CE,1800,0,2444,52,NO,0,0,0
AK,AK0018,2,AK0018-002,IPNATCHIAQ LIBRARY,IPNATCHIAQ LIBRARY,907-363-2136,NORTHWEST ARCTIC,"59 MAIN STREET
DEERING, AK
(65.822284, -163.490055)",43,7752,CE,375,0,500,50,M,0,0,0
AK,AK0019,2,AK0019-002,DELTA COMMUNITY LIBRARY,DELTA COMMUNITY LIBRARY,907-895-4102,SE FAIRBANK,"2291 DEBORAH STREET DELTA JUNCTION
AK
(64.04679, -145.734637)",43,6839,CE,5000,0,2496,52,NO,0,0,0
AK,AK0020,2,AK0020-002,DILLINGHAM PUBLIC LIBRARY,DILLINGHAM PUBLIC LIBRARY,907-842-5610,DILLINGHAM,"306 D STREET WEST
DILLINGHAM, AK
(59.040686, -158.463822)",43,4997,CE,2430,0,2040,52,NO,0,0,0
AK,AK0021,2,AK0021-002,EAGLE PUBLIC LIBRARY,EAGLE PUBLIC LIBRARY,907-547-2334,SE FAIRBANK,"4TH
EAGLE, AK
(64.787109, -141.202641)",43,6839,CE,1500,0,713,51,NO,0,0,15
AK,AK0023,2,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,907-459-1031,FAIRBANKS NORTH STAR,"1215 COWLES STREET
FAIRBANKS, AK
(64.838451, -147.738638)",13,99631,CE,62100,0,1820,52,NO,0,0,0
AK,AK0023,3,AK0023-003,NORTH POLE BRANCH LIBRARY,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,907-488-6101,FAIRBANKS NORTH STAR,"656 NORTH POLE HIGH SCHOOL BLVD NORTH
POLE, AK
(64.750582, -147.355652)",23,99631,BR,18410,0,1840,46,NO,0,0,7
AK,AK0023,4,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,907-459-1022,FAIRBANKS NORTH STAR,"1215 COWLES STREET
FAIRBANKS, AK
(64.838451, -147.738638)",13,99631,BS,-3,1,3224,52,NO,0,0,0
AL,AL0039,2,103-002,ELBA PUBLIC LIBRARY,ELBA PUBLIC LIBRARY,334-897-6921,COFFEE,"406 SIMMONS STREET
ELBA, AL
(31.414442, -86.071414)",43,51211,CE,5000,0,2080,52,NO,0,0,0
AK,AK0025,2,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,907-656-1205,YUKON-KOYUKUK,"299 ANTOSKI ROAD
GALENA, AK
(64.749499, -156.88152)",43,5533,CE,1500,0,750,50,NO,0,0,0
AK,AK0027,2,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,COPPER VALLEY COMMUNITY LIBRARY,907-822-5427,VALDEZ-CORDOVA,"186 GLENN HIGHWAY
GLENNALLEN, AK
(62.10946, -145.561269)",43,9362,CE,2000,0,1508,52,NO,0,0,0
AK,AK0028,2,AK0028-002,GUSTAVUS PUBLIC LIBRARY,GUSTAVUS PUBLIC LIBRARY,907-697-2350,SKAGWAY-ANGOON,"14 GUSTAVUS MAIN ROAD
GUSTAVUS, AK
(58.736309, -137.177227)",43,2133,CE,3052,0,1300,52,NO,0,0,15
AK,AK0029,2,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,HAINES BOROUGH PUBLIC LIBRARY,907-766-2545,HAINES,"111 THIRD AVENUE SOUTH
HAINES, AK
(59.233451, -135.447976)",43,2534,CE,8400,0,3120,52,NO,0,0,0
AK,AK0030,2,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,TRI-VALLEY COMMUNITY LIBRARY,907-683-2507,DENALI,"400 SUNTRANA STREET
HEALY, AK
(63.873445, -149.01818)",43,1919,CE,4560,0,1000,50,NO,0,0,0
AK,AK0031,2,AK0031-002,HOLLIS PUBLIC LIBRARY,HOLLIS PUBLIC LIBRARY,907-530-7112,PR WALES-OUTER KE,"1 HOLLIS CHILKAT ROAD
HOLLIS, AK
(55.929205, -132.951791)",43,6341,CE,2300,0,960,48,NO,0,0,0
AK,AK0032,2,AK0032-002,HOMER PUBLIC LIBRARY,HOMER PUBLIC LIBRARY,907-235-3180,KENAI PENINSULA,"500 HAZEL AVENUE
HOMER, AK
(59.643586, -151.531835)",43,58059,CE,17000,0,2704,52,NO,0,0,0
AK,AK0033,2,AK0033-002,HOPE COMMUNITY LIBRARY,HOPE COMMUNITY LIBRARY,907-782-3121,KENAI PENINSULA,"18487 A AVENUE
HOPE, AK
(60.918742, -149.64132)",42,58059,CE,2304,0,1050,52,NO,0,0,0
AK,AK0035,2,AK0035-002,DOUGLAS PUBLIC LIBRARY,JUNEAU PUBLIC LIBRARIES,907-364-2378,JUNEAU,"1016 THIRD STREET
DOUGLAS, AK
(58.276886, -134.395317)",33,32756,BR,8000,0,1872,52,NO,0,0,0
AK,AK0035,3,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,JUNEAU PUBLIC LIBRARIES,907-789-0125,JUNEAU,"3025 DIMOND PARK LOOP
JUNEAU, AK
(58.389717, -134.573657)",33,32756,BR,20000,0,3224,52,NO,0,0,7
AK,AK0035,4,AK0035-004,JUNEAU PUBLIC LIBRARIES,JUNEAU PUBLIC LIBRARIES,907-586-0443,JUNEAU,"292 MARINE WAY
JUNEAU, AK
(58.298585, -134.404544)",33,32756,CE,17000,0,2349,52,NO,0,0,0
AK,AK0037,2,AK0037-002,KASILOF PUBLIC LIBRARY,KASILOF PUBLIC LIBRARY,907-299-7428,KENAI PENINSULA,"58231 STERLING HIGHWAY
KASILOF, AK
(60.308254, -151.266222)",43,58059,CE,2553,0,735,49,NO,0,0,0
AK,AK0038,2,AK0038-002,KENAI COMMUNITY LIBRARY,KENAI COMMUNITY LIBRARY,907-283-4378,KENAI PENINSULA,"163 MAIN STREET LOOP
KENAI, AK
(60.559232, -151.246778)",33,58059,CE,20000,0,3045,52,NO,0,0,0
AK,AK0039,2,AK0039-002,KETCHIKAN PUBLIC LIBRARY,KETCHIKAN PUBLIC LIBRARY,907-225-3331,KETCHIKAN GATEWAY,"1110 COPPER RIDGE LANE
KETCHIKAN, AK
(55.349012, -131.651304)",33,13709,CE,16726,0,2808,52,NO,0,0,0
AK,AK0040,2,AK0040-002,KODIAK PUBLIC LIBRARY,KODIAK PUBLIC LIBRARY,907-486-8686,KODIAK ISLAND,"612 EGAN WAY
KODIAK, AK
(57.792622, -152.397484)",33,13889,CE,16000,0,3432,52,M,0,0,0
AK,AK0041,2,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,CHUKCHI CONSORTIUM LIBRARY,907-442-2410,NORTHWEST ARCTIC,"604 THIRD STREET
KOTZEBUE, AK
(66.899306, -162.587344)",33,7752,CE,1700,0,2000,50,NO,0,0,0
AK,AK0041,3,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,CHUKCHI CONSORTIUM LIBRARY,907-484-2142,NORTHWEST ARCTIC,"2600 MUSK OX PARKWAY
SELAWIK, AK
(66.295539, -159.414579)",43,7752,BR,2000,0,300,30,NO,0,0,0
AK,AK0044,2,AK0044-002,MCGRATH COMMUNITY LIBRARY,MCGRATH COMMUNITY LIBRARY,907-524-3843,YUKON-KOYUKUK,"249 F STREET
MCGRATH, AK
(62.949704, -155.588852)",43,5533,CE,2536,0,1560,52,NO,0,0,0
AK,AK0046,2,AK0046-002,CENTENNIAL LIBRARY,CENTENNIAL LIBRARY,907-886-6000,PR WALES-OUTER KE,"4TH
METLAKATLA, AK
(55.128457, -131.5752)",43,6341,CE,990,0,-1,-1,NO,0,0,0
AK,AK0047,3,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,MARTIN MONSEN REGIONAL LIBRARY,907-246-6513,BRISTOL BAY,"1 SCHOOL ROAD SOUTH
NAKNEK, AK
(58.73204, -157.006375)",43,892,BR,840,0,1144,52,NO,0,0,0
AK,AK0047,4,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,MARTIN MONSEN REGIONAL LIBRARY,907-246-4465,BRISTOL BAY,"101 MAIN STREET
NAKNEK, AK
(58.734779, -157.006441)",43,892,CE,1456,0,2080,52,NO,0,0,0
AK,AK0048,2,AK0048-002,NENANA PUBLIC LIBRARY,NENANA PUBLIC LIBRARY,907-832-5812,YUKON-KOYUKUK,"106 EAST SECOND STREET
NENANA, AK
(64.562392, -149.095578)",43,5533,CE,2421,0,1664,52,NO,0,0,0
AK,AK0051,2,AK0051-002,NINILCHIK COMMUNITY LIBRARY,NINILCHIK COMMUNITY LIBRARY,907-567-3333,KENAI PENINSULA,"15850 STERLING HIGHWAY
NINILCHIK, AK
(60.04179, -151.674982)",43,58059,CE,3200,0,1456,52,NO,0,0,0
AK,AK0052,2,AK0052-002,KEGOAYAH KOZGA LIBRARY,KEGOAYAH KOZGA LIBRARY,907-443-6628,NOME,"223 FRONT STREET
NOME, AK
(64.497178, -165.404168)",33,9846,CE,1800,0,2288,52,NO,0,0,0
AK,AK0053,2,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,NORTHWAY COMMUNITY/SCHOOL LIBRARY,907-778-2310,SE FAIRBANK,"496 NORTHWAY ROAD
NORTHWAY, AK
(62.960966, -141.884183)",43,6839,CE,2562,0,-1,-1,NO,0,0,0
AK,AK0055,2,AK0055-002,PALMER PUBLIC LIBRARY,PALMER PUBLIC LIBRARY,907-761-1371,MATANUSKA-SUSITNA,"655 SOUTH VALLEY WAY
PALMER, AK
(61.599781, -149.113009)",32,101095,CE,11922,0,2288,52,NO,0,0,0
AK,AK0056,2,AK0056-002,PELICAN PUBLIC LIBRARY,PELICAN PUBLIC LIBRARY,907-735-2500,SKAGWAY-ANGOON,"166 SALMON WAY
PELICAN, AK
(57.960305, -136.227078)",43,2133,CE,1200,0,832,52,NO,0,0,0
AK,AK0057,2,AK0057-002,PETERSBURG PUBLIC LIBRARY,PETERSBURG PUBLIC LIBRARY,907-772-3349,WRANGELL-PETERSBU,"14 SOUTH SECOND STREET
PETERSBURG, AK
(56.81128, -132.95473)",43,3177,CE,9700,0,2912,52,M,0,0,0
AK,AK0058,2,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,JESSIE WAKEFIELD MEMORIAL LIBRARY,907-454-2332,KODIAK ISLAND,"207 SPRUCE DRIVE PORT
LIONS, AK
(57.866332, -152.883859)",43,13889,CE,1360,0,780,52,NO,0,0,0
AK,AK0061,2,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,907-546-3324,ALEUTIANS WEST,"930 TOLSTOI BOULEVARD ST
PAUL, AK
(57.12614, -170.283949)",43,5702,CE,1280,0,960,48,NO,0,0,0
AK,AK0064,2,AK0064-002,SELDOVIA PUBLIC LIBRARY,SELDOVIA PUBLIC LIBRARY,907-234-7662,KENAI PENINSULA,"260 SELDOVIA STREET
SELDOVIA, AK
(59.438738, -151.714654)",43,58059,CE,2791,0,1026,52,NO,0,0,0
AK,AK0065,2,AK0065-002,SEWARD COMMUNITY LIBRARY AND MUSEUM,SEWARD COMMUNITY LIBRARY AND MUSEUM,907-224-4082,KENAI PENINSULA,"239 6TH AVENUE
SEWARD, AK
(60.102509, -149.437275)",43,58059,CE,22542,0,2808,52,M,0,6,0
AK,AK0067,2,AK0067-002,SITKA PUBLIC LIBRARY,KETTLESON MEMORIAL LIBRARY,907-747-8708,SITKA,"320 HARBOR DRIVE
SITKA, AK
(57.049692, -135.334131)",41,8863,CE,6200,0,3266,46,NO,0,6,0
AK,AK0068,2,AK0068-002,SKAGWAY PUBLIC LIBRARY,SKAGWAY PUBLIC LIBRARY,907-983-2665,SKAGWAY-ANGOON,"769 STATE STREET
SKAGWAY, AK
(59.457578, -135.313851)",43,1057,CE,5014,0,2264,52,NO,0,0,0
AK,AK0069,2,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,907-262-4227,KENAI PENINSULA,"235 NORTH BINKLEY ST
SOLDOTNA, AK
(60.492329, -151.072406)",33,58059,CE,21054,0,2704,52,M,0,0,0
AK,AK0070,2,AK0070-002,SUTTON PUBLIC LIBRARY,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,907-861-7640,MATANUSKA-SUSITNA,"11301 NORTH CHICKALOON WAY
SUTTON, AK
(61.71099, -148.877393)",42,101095,CE,6258,0,2132,52,NO,0,6,0
AK,AK0072,2,AK0072-002,TALKEETNA PUBLIC LIBRARY,TALKEETNA PUBLIC LIBRARY,907-733-2359,MATANUSKA-SUSITNA,"24645 SOUTH TALKEETNA SPUR ROAD
TALKEETNA, AK
(62.298386, -150.082461)",43,101095,CE,2590,0,2184,52,NO,0,0,7
AK,AK0073,2,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,TANANA COMMUNITY/SCHOOL LIBRARY,907-366-7356,YUKON-KOYUKUK,"89 FRONT STREET
TANANA, AK
(65.170496, -152.080839)",43,5533,CE,848,0,510,51,NO,0,0,0
AK,AK0074,2,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,DERMOTT O`TOOLE MEMORIAL LIBRARY,907-736-2248,SKAGWAY-ANGOON,"707 WEST TENAKEE AVENUE TENAKEE SPRINGS
AK
(57.777428, -135.210892)",43,2133,CE,896,0,716,50,NO,0,0,0
AK,AK0075,2,AK0075-002,TOK COMMUNITY LIBRARY,TOK COMMUNITY LIBRARY,907-883-5623,SE FAIRBANK,"1314 ALASKA HIGHWAY
TOK, AK
(63.335579, -142.982127)",43,6839,CE,960,0,1716,52,NO,0,0,0
AK,AK0077,2,AK0077-002,VALDEZ CONSORTIUM LIBRARY,VALDEZ CONSORTIUM LIBRARY,907-835-4632,VALDEZ-CORDOVA,"212 FAIRBANKS DRIVE
VALDEZ, AK
(61.129889, -146.354509)",43,9362,CE,15000,0,2860,52,NO,0,0,0
AK,AK0078,2,AK0078-002,WASILLA PUBLIC LIBRARY,WASILLA PUBLIC LIBRARY,907-376-5913,MATANUSKA-SUSITNA,"391 NORTH MAIN STREET
WASILLA, AK
(61.58298, -149.441433)",32,101095,CE,7687,0,2080,52,NO,0,0,0
AK,AK0080,2,AK0080-002,WILLOW PUBLIC LIBRARY,WILLOW PUBLIC LIBRARY,907-495-7323,MATANUSKA-SUSITNA,"23557 WEST WILLOW COMMUNITY CENTER
WILLOW, AK
(61.738182, -150.043355)",43,101095,CE,4111,0,2392,52,NO,0,0,0
AK,AK0081,2,AK0081-002,IRENE INGLE PUBLIC LIBRARY,IRENE INGLE PUBLIC LIBRARY,907-874-3535,WRANGELL,"124 SECOND STREET
WRANGELL, AK
(56.473191, -132.386964)",43,2382,CE,5930,0,1976,52,NO,0,0,0
AK,AK0082,2,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,AKIAK SCHOOL/COMMUNITY LIBRARY,907-765-4631,BETHEL,"1 KILBUCK ROAD
AKIAK, AK
(60.885689, -161.19229)",43,17946,CE,2500,0,-1,-1,NO,0,0,0
AK,AK0085,4,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,907-822-3015,VALDEZ-CORDOVA,"5 EDGERTON HIGHWAY KENNY LAKE
AK
(61.577439, -144.434771)",43,9362,CE,1440,0,780,52,NO,0,0,0
AK,AK0087,2,AK0087-002,KOYUK PUBLIC LIBRARY,KOYUK PUBLIC LIBRARY,907-963-3971,NOME,"3RD
KOYUK, AK
(64.930677, -161.166658)",43,9846,CE,1000,0,500,50,NO,0,0,0
AK,AK0091,2,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,TULUKSAK SCHOOL/COMMUNITY LIBRARY,907-695-5630,BETHEL,"1 PHILLIP STREET
TULUKSAK, AK
(60.735224, -160.173565)",43,17946,CE,1495,0,-1,-1,NO,0,0,0
AK,AK0094,3,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,TUZZY CONSORTIUM LIBRARY,907-763-2541,NORTH SLOPE,"567 MAIN STREET
WAINWRIGHT, AK
(70.638212, -160.029995)",43,9687,BR,2225,0,456,38,NO,0,0,0
AK,AK0094,4,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,TUZZY CONSORTIUM LIBRARY,907-368-2662,NORTH SLOPE,"1837 TIKIGAQ AVENUE POINT
HOPE, AK
(68.347301, -166.783258)",43,9687,BR,2849,0,372,31,NO,0,0,0
AK,AK0094,5,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,TUZZY CONSORTIUM LIBRARY,907-661-3226,NORTH SLOPE,"114 ILLINOIS AVENUE ANAKTUVUK PASS
AK
(68.146899, -151.73117)",43,9687,BR,1230,0,504,42,NO,0,0,0
AK,AK0094,6,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,TUZZY CONSORTIUM LIBRARY,907-663-6315,NORTH SLOPE,"4001 KIPPI STREET
ATQASUK, AK
(70.48064, -157.418819)",43,9687,BR,800,0,216,18,NO,0,0,0
AK,AK0094,7,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,TUZZY CONSORTIUM LIBRARY,907-640-6626,NORTH SLOPE,"2001 BARTER AVENUE
KAKTOVIK, AK
(70.129257, -143.616861)",43,9687,BR,2880,0,372,31,NO,0,0,0
AK,AK0094,8,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,TUZZY CONSORTIUM LIBRARY,907-480-6712,NORTH SLOPE,"3310 3RD AVENUE
NUIQSUT, AK
(70.221678, -151.004264)",43,9687,BR,1305,0,420,35,NO,0,6,0
AK,AK0094,9,AK0094-009,KALI COMMUNITY/SCHOOL LIBRARY,TUZZY CONSORTIUM LIBRARY,907-833-2311,NORTH SLOPE,"1029 QASIGIALIK STREET
POINT LAY, AK
(69.74659, -163.018032)",43,9687,BR,888,0,480,48,NO,0,6,0
AK,AK0094,10,AK0094-010,TUZZY CONSORTIUM LIBRARY,TUZZY CONSORTIUM LIBRARY,907-852-4050,NORTH SLOPE,"5421 NORTH STAR STREET
BARROW, AK
(71.300053, -156.745752)",33,9687,CE,11500,0,3120,52,NO,0,0,0
AK,AK0095,2,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,AKIACHAK SCHOOL/COMMUNITY LIBRARY,907-825-3684,BETHEL,"1 MAIN STREET
AKIACHAK, AK
(60.900132, -161.420534)",43,17946,CE,1800,0,-1,-1,NO,0,0,0
AK,AK0097,2,AK0097-002,ESTHER GREENWALD LIBRARY,ESTHER GREENWALD LIBRARY,907-945-3611,SKAGWAY-ANGOON,"366 GARTEENI HIGHWAY
HOONAH, AK
(58.108151, -135.441601)",43,2133,CE,4184,0,1500,50,NO,0,0,0
AK,AK0099,2,AK0099-002,MOOSE PASS PUBLIC LIBRARY,MOOSE PASS PUBLIC LIBRARY,907-288-3111,KENAI PENINSULA,"38100 DEPOT ROAD MOOSE PASS
AK
(60.487489, -149.368807)",43,58059,CE,360,0,1056,48,NO,0,0,0
AK,AK0100,1,AK0100-002,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,907-293-2427,YUKON-KOYUKUK,"9127 MAIN STREET
NIKOLAI, AK
(63.01305, -154.379787)",43,5533,CE,1640,0,-1,-1,NO,0,0,0
AK,AK0101,2,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,SAND POINT COMMUNITY/SCHOOL LIBRARY,907-383-2393,ALEUTIANS EAST,"123 RED COVE ROAD SAND POINT
AK
(55.353509, -160.480725)",43,3341,CE,1950,0,624,52,NO,0,0,0
AK,AK0102,2,AK0102-002,EGEGIK VILLAGE LIBRARY,EGEGIK VILLAGE LIBRARY,907-233-2211,LAKE AND PENINSULA,"289 AIRPORT ROAD
EGEGIK, AK
(58.202176, -157.36269)",43,1563,CE,1500,0,780,52,NO,0,0,0
AK,AK0103,2,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,TRAPPER CREEK PUBLIC LIBRARY,907-733-1546,MATANUSKA-SUSITNA,"8901 EAST DEVONSHIRE DRIVE TRAPPER CREEK
AK
(62.307225, -150.239091)",43,101095,CE,2762,0,1300,52,NO,0,0,0
AK,AK0104,2,AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,907-476-7131,YUKON-KOYUKUK,"210 MAIN STREET
HOLY CROSS, AK
(62.453733, -158.006185)",43,5533,CE,1450,0,-1,-1,NO,0,0,0
AK,AK0113,2,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,OUZINKIE TRIBAL MEDIA CENTER,907-680-2323,KODIAK ISLAND,"216 THIRD STREET
OUZINKIE, AK
(57.923854, -152.498225)",42,13889,CE,600,0,1760,52,NO,0,0,0
AK,AK0114,2,AK0114-002,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,907-546-3337,ALEUTIANS WEST,"1 ELEMENTARY SCHOOL ROAD
ST GEORGE, AK
(56.573269, -169.583337)",43,5702,CE,900,0,656,48,NO,0,0,0
AK,AK0115,2,AK0115-002,UNALASKA PUBLIC LIBRARY,UNALASKA PUBLIC LIBRARY,907-581-5060,ALEUTIANS WEST,"64 ELEANOR DRIVE
UNALASKA, AK
(53.870448, -166.529918)",43,5702,CE,9400,0,3484,52,NO,0,0,0
AK,AK0116,1,AK0116-002,ANIAK PUBLIC LIBRARY,ANIAK PUBLIC LIBRARY,907-675-4435,BETHEL,"270 RIVERFRONT DRIVE
ANIAK, AK
(61.559455, -155.110515)",43,17946,CE,400,0,900,50,NO,0,0,0
AK,AK0117,1,AK0117-002,HYDER PUBLIC LIBRARY,HYDER PUBLIC LIBRARY,250-636-9169,PR WALES-OUTER,"50 MAIN STREET
HYDER, AK
(55.916565, -130.025846)",43,6341,CE,1200,0,658,48,NO,0,0,0
AK,AK0120,1,AK0120-002,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,907-473-8206,YUKON-KOYUKUK,"101 PINE STREET
SHAGELUK, AK
(62.655125, -159.532798)",43,5533,CE,512,0,1000,50,NO,0,0,0
AK,AK0121,1,AK0121-002,BLACKWELL COMMUNITY/SCHOOL LIBRARY,BLACKWELL COMMUNITY/SCHOOL LIBRARY,907-663-6348,YUKON-KOYUKUK,"100 WHITE SPRUCE TRAIL
ANVIK, AK
(62.654917, -160.202887)",43,5533,CE,560,0,-1,-1,NO,0,0,0
